model name,structure_validity,smact_validity,composition_consistency,is_stable,is_novel,is_unique,stable_unique_novel,spacegroup_consistency,Energy,elastic_reward_all
With_Thinking,91.30% ± 0.19%,91.78% ± 0.04%,97.25% ± 0.08%,38.04% ± 0.18%,41.39% ± 0.25%,38.91% ± 0.29%,0.57% ± 0.06%,47.76% ± 0.22%,0.52 ± 0.0032,N/A
RL_With_Thinking,94.92% ± 0.15%,91.78% ± 0.03%,97.32% ± 0.07%,40.95% ± 0.16%,41.56% ± 0.21%,87.23% ± 0.14%,1.70% ± 0.08%,50.21% ± 0.21%,0.45 ± 0.0026,N/A
No_Thinking,83.84% ± 0.24%,90.45% ± 0.10%,90.64% ± 0.18%,33.53% ± 0.18%,38.63% ± 0.27%,35.62% ± 0.31%,0.49% ± 0.05%,40.77% ± 0.21%,0.59 ± 0.0041,N/A
plaid_wyckoff,89.06% ± 0.21%,91.59% ± 0.04%,96.95% ± 0.09%,32.03% ± 0.18%,45.73% ± 0.26%,40.70% ± 0.30%,0.50% ± 0.05%,41.56% ± 0.22%,0.57 ± 0.0033,N/A
crystaltextllm,90.01% ± 0.21%,91.59% ± 0.05%,95.39% ± 0.10%,24.57% ± 0.16%,53.60% ± 0.25%,47.40% ± 0.30%,0.38% ± 0.05%,22.27% ± 0.18%,0.61 ± 0.0028,N/A
plaid_wyckoff_8,87.30% ± 0.22%,91.38% ± 0.05%,96.22% ± 0.09%,31.05% ± 0.17%,45.17% ± 0.26%,39.84% ± 0.30%,0.54% ± 0.06%,40.58% ± 0.21%,0.61 ± 0.0038,N/A
crystaltextllm_8,87.49% ± 0.23%,91.53% ± 0.05%,93.83% ± 0.13%,21.84% ± 0.14%,54.64% ± 0.26%,47.30% ± 0.30%,0.34% ± 0.04%,21.53% ± 0.18%,0.68 ± 0.0034,N/A
