model name,structure_validity,smact_validity,composition_consistency,is_stable,is_novel,is_unique,stable_unique_novel,spacegroup_consistency,Energy,elastic_reward_all
SFTed,91.29% ± 0.19%,91.72% ± 0.04%,97.20% ± 0.08%,38.08% ± 0.18%,41.27% ± 0.25%,38.64% ± 0.29%,0.59% ± 0.06%,48.27% ± 0.22%,0.52 ± 0.0032,N/A
Validity Only,95.81% ± 0.14%,91.79% ± 0.03%,97.45% ± 0.07%,38.30% ± 0.17%,45.03% ± 0.22%,41.64% ± 0.27%,0.54% ± 0.06%,49.10% ± 0.22%,0.50 ± 0.0028,N/A
Energy Only,95.31% ± 0.15%,91.82% ± 0.03%,97.36% ± 0.07%,40.66% ± 0.16%,41.82% ± 0.21%,87.68% ± 0.14%,1.50% ± 0.07%,50.16% ± 0.21%,0.45 ± 0.0025,N/A
Mixed,94.92% ± 0.15%,91.78% ± 0.03%,97.32% ± 0.07%,40.95% ± 0.16%,41.56% ± 0.21%,87.23% ± 0.14%,1.70% ± 0.08%,50.21% ± 0.21%,0.45 ± 0.0026,N/A
